MODELO,PROCESADOR,ROM (GB),RAM (GB),MICROSD,SIM,TAMAÑO PANTALLA (in), RESOLUCION PANTALLA,BATERIA (mAh),PESO (g),FECHA LANZAMIENTO,CAMARA FRONTAL (MP),PRECIO
iPhone 11,Apple A13 Bionic,"64, 128, 256",4,No,"Nano-SIM, eSIM",6.1,1792x828,3110,194,9/20/2019,12,749
iPhone 11 Pro,Apple A13 Bionic,"64, 256, 512",4,No,"Nano-SIM, eSIM",5.8,2436x1125,3046,188,9/20/2019,12,999
iPhone 11 Pro Max,Apple A13 Bionic,"64, 256, 512",6,No,"Nano-SIM, eSIM",6.5,2688x1242,3969,226,9/20/2019,12,1099
iPhone 7 Plus,Apple A10 Fusion (64bit),"32, 128, 256",3,No,Nano-SIM,5.5,1920x1080,2900,188,9/16/2016,7,804
iPhone 7,Apple A10 Fusion (64bit),"32, 128",2,No,Nano-SIM,4.7,1334x750,1960,138,9/16/2016,7,679
iPhone X,Apple A11 Bionic,"64, 256",3,No,Nano-SIM,5.8,2436x1125,2716,174,10/27/2017,7,1022
iPhone 8 Plus,Apple A11 Bionic,"64, 256",3,No,Nano-SIM,5.5,1920x1080,2675,202,9/15/2017,7,809
iPhone 8,Apple A11 Bionic,"64, 256",2,No,Nano-SIM,4.7,1334x750,1821,148,9/15/2017,7,715
iPhone XR,Apple A12 Bionic,"64, 128, 256",3,No,"Nano-SIM, eSIM",6.1,1792x828,2942,194,10/26/2018,7,749
iPhone XS,Apple A12 Bionic,"64, 256, 512",4,No,"Nano-SIM, eSIM",5.8,2436x1125,2658,177,9/28/2018,7,999
iPhone XS Max,Apple A12 Bionic,"64, 256, 512",4,No,"Nano-SIM, eSIM",6.5,2688x1242,3174,208,9/28/2018,7,1099
iPhone 3GS,"ARM 600MHz, 32bit","16, 32",0.256,No,Full-size,3.5,320x480,1219,135,6/19/2009,5.3,700
iPhone 6s Plus,"Apple A9, 64bit","16, 64, 128",2,No,Nano-SIM,5.5,1920x1080,2750,192,9/12/2015,5,783
iPhone 6s,"Apple A9, 64bit","16, 64, 128",2,No,Nano-SIM,4.7,1334x750,1715,143,9/12/2015,5,689
iPhone 6,"Apple A8, 64bit","16, 64, 128",1,No,Nano-SIM,4.7,1334x750,1810,129,9/9/2014,2,688
iPhone 5C,"Apple A6 1Ghz dual-core, 32bit","16, 32",1,No,Nano-SIM,4,1136x640,1507,132,9/10/2013,1.2,584
iPhone 5,"Apple A6 1Ghz dual-core, 32bit","16, 32, 64",1,No,Nano-SIM,4,1136x640,1440,112,9/21/2012,1.2,708
iPhone 5S,"Apple A7 1.3Ghz dual core, 64bit","16, 32, 64",1,No,Nano-SIM,4,1136x640,1570,112,9/10/2013,1.2,700
iPhone 6 Plus,"Apple A8, 64bit","16, 64, 128",1,No,Nano-SIM,5.5,1920x1080,2915,172,9/9/2014,1.2,798
iPhone 4,"Apple A4 1Ghz, 32bit","16, 32",0.512,No,micro-SIM,3.5,960x640,1420,138,6/24/2010,0.3,692
iPhone 4S,"Apple A5 dual core, 32bit","16, 64",1,No,micro-SIM,3.5,960x640,1432,140,10/14/2011,0.3,722
